Job ID, Arrival Time, Wait Time, Run Time, Response Time
1, 2, 8, 5, 8
2, 6, 6, 5, 6
3, 7, 7, 7, 7
5, 14, 4, 6, 4
8, 15, 7, 7, 7
11, 20, 8, 1, 8
13, 22, 12, 8, 12
14, 22, 14, 5, 14
16, 25, 17, 1, 17
19, 27, 19, 1, 19
28, 30, 26, 1, 26
34, 33, 35, 3, 35
27, 34, 38, 7, 38
30, 34, 42, 9, 42
41, 35, 43, 10, 43
31, 35, 45, 7, 45
46, 39, 53, 5, 53
51, 40, 62, 4, 62
45, 40, 64, 2, 64
49, 42, 70, 5, 70
58, 43, 73, 4, 73
47, 43, 75, 5, 75
60, 43, 77, 9, 77
56, 43, 79, 5, 79
50, 44, 80, 1, 80
52, 44, 82, 7, 82
61, 45, 83, 1, 83
59, 45, 89, 3, 89
74, 48, 96, 9, 96
75, 48, 98, 7, 98
69, 48, 100, 4, 100
71, 48, 102, 2, 102
66, 48, 104, 8, 104
68, 48, 106, 9, 106
85, 49, 113, 8, 113
81, 50, 118, 2, 118
86, 51, 121, 2, 121
76, 51, 123, 10, 123
93, 51, 125, 9, 125
89, 52, 128, 1, 128
80, 53, 135, 7, 135
91, 53, 139, 4, 139
96, 54, 144, 2, 144
92, 55, 147, 9, 147
0, 10, 198, 4, 0
4, 18, 198, 15, 6
6, 22, 196, 8, 6
7, 26, 194, 2, 6
9, 28, 196, 15, 8
10, 32, 196, 14, 10
12, 34, 196, 14, 10
17, 40, 196, 2, 14
15, 42, 197, 11, 15
18, 46, 199, 10, 19
21, 50, 198, 14, 20
20, 52, 199, 14, 21
22, 54, 201, 9, 23
24, 56, 203, 3, 25
23, 60, 203, 13, 27
25, 62, 205, 6, 29
29, 64, 207, 3, 31
26, 66, 208, 8, 32
33, 68, 209, 3, 33
32, 72, 211, 2, 37
36, 76, 212, 2, 40
